Input,Target
"Moira: ""John, I've been stripped of every morsel of pleasure I earned in this life!""","Johnny: ""Well, how do you think I feel, Moira?! Eli was family, for God's sake! Leave your finances to me, he said! Son of a btch!"""
"Alexis: ""Baby, it's crazy, people are just like, taking our stuff! I said, they're taking our stuff! Can you just step out of the club for a second, ple... Hold on, hold on! Those bags are not for you, my boyfriend bought those for me, so, theoretically, they are his!""","Revenue agent: ""Please ma'am, let us do our job"""
"Revenue agent: ""Please sir, can you step aside?""","David: ""No, you step aside! You step aside! I'm still trying to wrap my mind around what kind of a sick person wants to get paid to destroy another person's life! Destroy another person's life! Where are you taking that?!"""
"Moira: ""My very soul has been kidnapped, there's no ransom, no one's coming to save me!""","Johnny: ""We've got 15 minutes to collect our personals, can we pick up the pace?!"""
"Moira: ""My very soul has been kidnapped, there's no ransom, no one's coming to save me!"" | Johnny: ""We've got 15 minutes to collect our personals, can we pick up the pace?!""","Moira: ""Did you put Kristen with Robin? They don't like each other!"""
"Moira: ""My very soul has been kidnapped, there's no ransom, no one's coming to save me!"" | Johnny: ""We've got 15 minutes to collect our personals, can we pick up the pace?!"" | Moira: ""Did you put Kristen with Robin? They don't like each other!""","Johnny: ""I dont have time for this Moira!"""
"Lawyer: ""Eli really did a number, Johnny. They're still looking for him, they think he's in the Caymans.""","Johnny: ""He was our business manager, he's supposed to pay taxes!"""
"Lawyer: ""Eli really did a number, Johnny. They're still looking for him, they think he's in the Caymans."" | Johnny: ""He was our business manager, he's supposed to pay taxes!""","Lawyer: ""There is a very small amount set aside for you, and one asset the government has allowed you to retain. The children are dependents, Moira. You bought a small town in 1991, Johnny."""
"Lawyer: ""Eli really did a number, Johnny. They're still looking for him, they think he's in the Caymans."" | Johnny: ""He was our business manager, he's supposed to pay taxes!"" | Lawyer: ""There is a very small amount set aside for you, and one asset the government has allowed you to retain. The children are dependents, Moira. You bought a small town in 1991, Johnny.""","Johnny: ""Yes, I bought that as a joke for my son."""
"Johnny: ""He was our business manager, he's supposed to pay taxes!"" | Lawyer: ""There is a very small amount set aside for you, and one asset the government has allowed you to retain. The children are dependents, Moira. You bought a small town in 1991, Johnny."" | Johnny: ""Yes, I bought that as a joke for my son.""","David: ""Wait, you actually purchased that town?"""
"Lawyer: ""There is a very small amount set aside for you, and one asset the government has allowed you to retain. The children are dependents, Moira. You bought a small town in 1991, Johnny."" | Johnny: ""Yes, I bought that as a joke for my son."" | David: ""Wait, you actually purchased that town?""","Lawyer: ""Yes, I purchased the town, how else could I get the deed?"""
"Johnny: ""Yes, I bought that as a joke for my son."" | David: ""Wait, you actually purchased that town?"" | Lawyer: ""Yes, I purchased the town, how else could I get the deed?""","Alexis: ""You could've photo shopped the deed!"""
"David: ""Wait, you actually purchased that town?"" | Lawyer: ""Yes, I purchased the town, how else could I get the deed?"" | Alexis: ""You could've photo shopped the deed!""","David: ""And saved the money!"""
"Lawyer: ""Yes, I purchased the town, how else could I get the deed?"" | Alexis: ""You could've photo shopped the deed!"" | David: ""And saved the money!""","Johnny: ""Why would I Photoshop a deed, the joke was owning the town! That was the joke! Well, that was the joke!"""
"Alexis: ""You could've photo shopped the deed!"" | David: ""And saved the money!"" | Johnny: ""Why would I Photoshop a deed, the joke was owning the town! That was the joke! Well, that was the joke!""","Moira: ""What do you mean?"""
"David: ""And saved the money!"" | Johnny: ""Why would I Photoshop a deed, the joke was owning the town! That was the joke! Well, that was the joke!"" | Moira: ""What do you mean?""","Lawyer: ""You can live there for next to nothing, until you get back on your feet."""
"Johnny: ""Why would I Photoshop a deed, the joke was owning the town! That was the joke! Well, that was the joke!"" | Moira: ""What do you mean?"" | Lawyer: ""You can live there for next to nothing, until you get back on your feet.""","Moira: ""I'm sure there's a penthouse we can move into, please, there are other options."""
"Moira: ""What do you mean?"" | Lawyer: ""You can live there for next to nothing, until you get back on your feet."" | Moira: ""I'm sure there's a penthouse we can move into, please, there are other options.""","Lawyer: ""Well, homelessness is still on the table."""
"Alexis: ""cows all over the place, like, everywhere. I don't know what's happening!""","Johnny: ""Oh, you're the mayor we're supposed to meet."""
"Alexis: ""cows all over the place, like, everywhere. I don't know what's happening!"" | Johnny: ""Oh, you're the mayor we're supposed to meet.""","Roland: ""That's right, I'm the mayor, so if you're looking for an ass to kiss, it's mine!"""
"Alexis: ""cows all over the place, like, everywhere. I don't know what's happening!"" | Johnny: ""Oh, you're the mayor we're supposed to meet."" | Roland: ""That's right, I'm the mayor, so if you're looking for an ass to kiss, it's mine!""","Johnny: ""Oh, this is my family, my son..."""
"Johnny: ""Oh, you're the mayor we're supposed to meet."" | Roland: ""That's right, I'm the mayor, so if you're looking for an ass to kiss, it's mine!"" | Johnny: ""Oh, this is my family, my son...""","Roland: ""Let's get you all squared away in the office there, Johnny, okay, the gals can grab the bags, you follow me, all right, right this way, watch it, honey, here we come."""
"Roland: ""That's right, I'm the mayor, so if you're looking for an ass to kiss, it's mine!"" | Johnny: ""Oh, this is my family, my son..."" | Roland: ""Let's get you all squared away in the office there, Johnny, okay, the gals can grab the bags, you follow me, all right, right this way, watch it, honey, here we come.""","Moira: ""Children, keep an eye on these bags. Apparently in hell, there's no bellman!"""
"Alexis: ""David, what are we...""","David: ""Shut up!"""
"Alexis: ""David, what are we..."" | David: ""Shut up!""","Alexis: ""Um, you shut up!"""
"Johnny: ""The name is Rose.""","Stevie: ""I don't see a reservation under that name."""
"Johnny: ""The name is Rose."" | Stevie: ""I don't see a reservation under that name.""","Roland: ""It's okay, Stevie, I set aside two rooms for them."""
"Johnny: ""The name is Rose."" | Stevie: ""I don't see a reservation under that name."" | Roland: ""It's okay, Stevie, I set aside two rooms for them.""","Stevie: ""Well, there's nothing here."""
"Stevie: ""I don't see a reservation under that name."" | Roland: ""It's okay, Stevie, I set aside two rooms for them."" | Stevie: ""Well, there's nothing here.""","Roland: ""Well okay, fine, just book 'em in with two rooms, these people own the town; They're big deals."""
