Character,Dialogue
unknown,"Episode transcripts for the TV show ""Schitt's Creek"". Aired January 2015 to April 2020."
Moira,"John, I've been stripped of every morsel of pleasure I earned in this life!"
Johnny,"Well, how do you think I feel, Moira?!"
Johnny,"Eli was family, for God's sake!"
Johnny,"Leave your finances to me, he said! Son of a btch!"

Alexis,"Baby, it's crazy, people are just like, taking our stuff!"
Alexis,"I said, they're taking our stuff!"
Alexis,"Can you just step out of the club for a second, ple..."
Alexis,"Hold on, hold on! Those bags are not for you, my boyfriend bought those for me, so, theoretically, they are his!"
Revenue agent,"Please ma'am, let us do our job"

Revenue agent,"Please sir, can you step aside?"
David,"No, you step aside! You step aside!"
David,I'm still trying to wrap my mind around what kind of a sick person wants to get paid to destroy another person's life!
David,Destroy another person's life!
David,Where are you taking that?!

Moira,"My very soul has been kidnapped, there's no ransom, no one's coming to save me!"
Johnny,"We've got 15 minutes to collect our personals, can we pick up the pace?!"
Moira,Did you put Kristen with Robin? They don't like each other!
Johnny,I dont have time for this Moira!

Lawyer,"Eli really did a number, Johnny."
Lawyer,"They're still looking for him, they think he's in the Caymans."
Johnny,"He was our business manager, he's supposed to pay taxes!"
Lawyer,"There is a very small amount set aside for you, and one asset the government has allowed you to retain."
Lawyer,"The children are dependents, Moira."
Lawyer,"You bought a small town in 1991, Johnny."
Johnny,"Yes, I bought that as a joke for my son."
David,"Wait, you actually purchased that town?"
Lawyer,"Yes, I purchased the town, how else could I get the deed?"
Alexis,You could've photo shopped the deed!
David,And saved the money!
Johnny,"Why would I Photoshop a deed, the joke was owning the town!"
Johnny,That was the joke!
Johnny,"Well, that was the joke!"
Moira,What do you mean?
Lawyer,"You can live there for next to nothing, until you get back on your feet."
Moira,"I'm sure there's a penthouse we can move into, please, there are other options."
Lawyer,"Well, homelessness is still on the table."

Alexis,"cows all over the place, like, everywhere."
Alexis,I don't know what's happening!
Johnny,"Oh, you're the mayor we're supposed to meet."
Roland,"That's right, I'm the mayor, so if you're looking for an ass to kiss, it's mine!"
Johnny,"Oh, this is my family, my son..."
Roland,"Let's get you all squared away in the office there, Johnny, okay, the gals can grab the bags, you follow me, all right, right this way, watch it, honey, here we come."
Moira,"Children, keep an eye on these bags."
Moira,"Apparently in hell, there's no bellman!"

Alexis,"David, what are we..."
David,Shut up!
Alexis,"Um, you shut up!"

Johnny,The name is Rose.
Stevie,I don't see a reservation under that name.
Roland,"It's okay, Stevie, I set aside two rooms for them."
Stevie,"Well, there's nothing here."
Roland,"Well okay, fine, just book 'em in with two rooms, these people own the town; They're big deals."
Moira,"We'll need three rooms, minimum."
Roland,"Ooh, no can do, honey."
Roland,"Look, we have a one room comp policy here, and I am personally throwing in an extra room out of sheer decency, so..."
Johnny,What about suites? Do you have a couple of suites?
Roland,"No, this is a motel, so we cater more to off road truckers and drunk teenagers."
Moira,"Please, someone just give me a key, to a door, to a room any room! I just want a bathtub, and a long extension cord, please."
Roland,"There you go, ma'am."
Moira,It smells like a gym bag.
Moira,Does anyone else feel light headed?
Roland,"You know, I did the deed in just about every room in this place."
Roland,"Yep, if a forensic team came in here with one of those blue lights, this place would just light up!"
Alexis,Ew! Ew! Ew! Ew! Ew!
David,Oh my God. Oh my God!
Roland,"Oh hey, chief, the other room's right through there."
Moira,"I should probably pull off that cover, and... burn it."
Johnny,"Good, Roland, thank you very much, appreciate everything, uh..."
Johnny,"Well, the thing is we won't be watching a lot of television, but again, thank you, I don't want to keep you, I know you're a busy man."

Stevie,Can I help you?
David,"I'm looking for an extra towel,"
David,"And this might be a stupid question, considering the state of the rugs in our room, but do you have a business centre here?"
Stevie,"Yes, we do have a business center."
Stevie,"You can find it right outside the doors to your left, right beside the hammam spa."
Stevie,Would you like me to book you a treatment while you're at it?
David,"Thank you, no, just the towel, thanks."
David,I'll get those right out.

Johnny,"Well Roland, once again, thank you for giving us the lay of the land here, but we have some serious unpacking to do."
Johnny,If you don't mind.
Roland,"No problem there, Johnny, I don't mind helpin' out."
Roland,"Listen, one thing before I go here, um..."
Roland,Do you mind if I use your toilet?
Moira,Is it absolutely necessary?
Roland,"Uh, yeah, I would say it's absolutely necessary!"
Roland,"Yes, that train has left the station, if you know what I mean! Chuckles"

David,I need that bed.
Alexis,Why you?
David,Because I need it.
David,"Because if someone were to break in here in the middle of the night wanting to mrder us, they would attack this bed first, so I need this bed."
Alexis,So you're saying that you want me to get mrderd first?!
Alexis,In front of you? And then what would you do?
Alexis,Would you just run away and leave me to bleed out...
David,"Uh, sort of, that was the plan, yeah."
Alexis,"Okay. Well, you can have the bed when I leave."
David,"Well, where are you going?"
Alexis,"Stavros is flying in to get me, I told you that."
David,What do you mean Stavros is com...
David,What do you mean? When? When is he doing that?
Alexis,"Like, whenever stupid Mary-Kate stops hogging his plane."
David,"Well, where are we going?"
Alexis,"Okay, at present, he's just coming for me, but then I figured that we would just come back and grab you guys at some point."
David,"What kind of sociopath abandons her family in some vomit soaked dump, to gallivant around the world with her dumb shipping heir loser boyfriend she's known for three months?!"
Alexis,"Um, David, it will be four months next month!"
Alexis,"And he just told me that he could potentially see himself considering saying ""I love you"" at some point sometime soon, so..."
David,That's the stupidest thing I've ever heard.
David,"I'm telling mom. I'm telling mom and dad, have you told them?"
Alexis,"No! No David, I'm waiting for the right opportunity."
Alexis,"Okay, otherwise dad's gonna cry, and mom's gonna do that thing where she pretends that nothing's wrong, and then just doesn't talk to me for five months, and I don't want that."
Alexis,"Well, I need this bed! I need it, so."
Alexis,"You know what, David?!"
Alexis,You get mrderd first for once!
David,"No, you get mrderd first!"
Alexis,"David, you get mrderd first!"
David,"No, you! You do it!"
Alexis,"Yes, you get mrderd first! David, you get mrderd first!"

Alexis,I actually think this place is kinda cute.
Moira,Did you say cute?
Moira,"No Alexis, Martha Stewart's Hampton home is cute."
David,Where's that weird man?
Moira,He's in the bathroom.
Johnny,He... he won't leave!
Alexis,"Well, he's been in there for a very long ti..."
David,Oh my God! Oh my God!
Roland,Remind me to get that window fixed.
Roland,It will not open.
Johnny,"Roland, listen, thank you very much, but I appreciate everything you've done, we need a little private time now, as a family."
Roland,"Sure, well actually, those curtains do close there so..."
Roland,"Oh, look! You've got Channel 19!"
Johnny,"Roland, could you get the fck out?!"
Johnny,That was an overreaction. That was uncalled for.
Moira,"It's just... you know, we're a little tired, it's been a long day, there's a pharmacy worth of drgs wearing off on most of us right now, and I just think as a family, we just need a little time to chill."
Roland,"Johnny, please, you don't have to apologize, and you really don't have to hit me over the head with this sort of thing, I get it, you need your little family time and all that, I'm sure."
Roland,"You know what I'll do, I'll um...,I'll just get the fck out of here."

Alexis,I think it's kinda sweet.
Moira,"Alexis, what's going on with you?"
Alexis,What do you mean?
Moira,"The room was ""cute,"" this place is ""sweet."""
David,"I am personally offended by this place, I don't know what you think is nice about it."
Moira,The town is disgusting. It is gruesome.
Alexis,"It is charming, it is quaint, it's like out of a storybook."
Moira,"Alexis, what the hell is the matter with you?!"
Alexis,"Okay... Stavros is flying in to get me, and I am going to go live with him for a little bit."
Moira,"Well, that is not happening."
Moira,"And I am appalled that my baby girl has turned into a selfish, duplicitous whore!"

Twyla,"Hi, I'm Twyla. I'll be your waitress today."
Twyla,"Anyway, I read about you guys, and everything you've gone through, it sounds super crappy."
Johnny,Could you give us a moment please?
Twyla,"Whenever you're ready, I'm just right over here."

Moira,I forbid you to abandon our family.
Alexis,"I am a grown woman, mother."
Johnny,This is an act of a spoiled child!
